DEPARTMENT_NAME,NumMoreThan10,PerMoreThan10,AvgOTOverSalary_10,AvgOTOverSalaryAll,MaxSalary_10,MedianSalary_10,MeanSalary_10,MinSalary_10,OT_10,OT_Total,Diff_OT_AllAt10,SalaryOver25,SpentOver25,SalaryOver50,SpentOver50,SalaryOver75,SpentOver75,SalaryOver100,SpentOver100
Property Management,94,0.643835616,0.40865649,0.309699276,122637.59,50706.565,52491.0134,3272.33,2016374.57,2075398.7,1405265.168,91,2010183.13,57,1542431.15,11,334249.26,2,43086.21
Boston Police Department,2047,0.625802507,0.365755763,0.307667628,186611.03,99256.32,100732.4101,351.4,75418561.67,77764302.51,52488876.86,2037,75392682.25,1981,74867054.33,1744,71043740.81,974,47488958.34
Public Works Department,283,0.649082569,0.289775236,0.231073735,136643.46,50175.54,52373.92346,266.12,4294996.48,4506512.51,2556263.811,237,4171731.15,142,3130027.19,46,1447141.98,16,591685.21
Inspectional Services Dept,51,0.22972973,0.427988837,0.189098583,128489.59,85350.37,85335.60353,33161.89,1862656.97,2051920.09,966814.077,51,1862656.97,50,1855212.3,36,1432091.23,5,147045.71
Cemetery Division,14,0.451612903,0.272078927,0.187335662,125631.19,53643.18,58645.50357,1122.05,223386.88,241267.54,112478.639,12,219903.75,8,183290.01,4,101472.91,2,47630.18
Parks Department,124,0.3454039,0.280017843,0.176572462,126105.19,47461.195,50091.36089,731.51,1739282.88,1949688.84,845502.592,106,1681205.92,57,1021920.65,18,386240.57,5,136496.03
Election Division,18,0.367346939,0.178843967,0.145357332,128774.59,53162.97,59186.65167,1425,190533.16,215117.83,67125.412,15,176851.31,10,142758.22,5,100685.35,2,55131.64
BPS Facility Mgmt/A & R,19,0.395833333,0.201862745,0.145111236,119385.2,105130.46,102340.9432,71597.42,392517.65,457520.33,142230.941,19,392517.65,19,392517.65,18,382488.32,14,313931.62
Boston Fire Department,1115,0.631370328,0.176789497,0.144937772,242752.88,133016.78,135829.6912,17438.56,26774788.04,30274873.99,9386686.189,1114,26764287.25,1114,26764287.25,1090,26316591.21,1004,24755840.26
BPS Murphy Elementary,1,0.007246377,0.142262499,0.142262499,49431.79,49431.79,49431.79,49431.79,7032.29,7032.29,2089.111,1,7032.29,0,0,0,0,0,0
BPS Human Resource Team,3,0.015306122,0.28556878,0.13595681,84690.94,83302.5,81885.29333,77662.44,70151.65,87489.47,23138.541,3,70151.65,3,70151.65,3,70151.65,0,0
BPS Snowden International Hi,1,0.016949153,0.133009055,0.133009055,58464.14,58464.14,58464.14,58464.14,7776.26,7776.26,1929.846,1,7776.26,1,7776.26,0,0,0,0
Traffic Division,89,0.229381443,0.271284756,0.121626024,128474.63,58474.82,64053.25472,17702.16,1546523.77,1961799.84,348822.802,88,1544364.97,63,1218917.2,25,604575.62,7,153078.96
Curley K-8,1,0.005376344,0.114570231,0.114570231,44799.77,44799.77,44799.77,44799.77,5132.72,5132.72,652.743,1,5132.72,0,0,0,0,0,0
East Boston EEC,1,0.018518519,0.11264479,0.11264479,39272.3,39272.3,39272.3,39272.3,4423.82,4423.82,496.59,1,4423.82,0,0,0,0,0,0
BPS Hennigan Elementary,1,0.009259259,0.21170051,0.100781292,30449.1,30449.1,30449.1,30449.1,6446.09,8032.4,62.27,1,6446.09,0,0,0,0,0,0
"UP ""Unlocking Potential"" Acad",2,0.02247191,0.145034933,0.099395564,44065.34,30795.305,30795.305,17525.27,8932.79,9272.64,-56.388,1,6339.96,0,0,0,0,0,0
BPS Facility Management,147,0.250853242,0.169269971,0.097943201,82287.47,60007.76,61066.29626,25680.98,1519493.46,2287935.31,-48046.447,147,1519493.46,131,1426248.78,10,117066.33,0,0
BPS Trotter Elementary,1,0.011764706,0.199814098,0.096069069,55749.67,55749.67,55749.67,55749.67,11139.57,12061.51,-493.53,1,11139.57,1,11139.57,0,0,0,0
Office of Streets,7,0.28,0.166695855,0.090592449,88770.52,79187.74,75373.52571,48297.98,87951.18,117975.08,-12251.094,7,87951.18,6,82934.83,5,74810.54,0,0
Boston Retirement System,8,0.129032258,0.202992883,0.08743557,126405.14,69768.41,80677.65,52953.98,131015.91,179600.56,-25808.475,8,131015.91,8,131015.91,3,59654.53,2,49506.3
UP Academy Dorchester,6,0.045454545,0.130725678,0.083566381,56729.57,30349.315,32751.43333,18320.61,25688.72,38058.89,-7484.413,3,17194.01,1,6838.22,0,0,0,0
UP Academy Holland,14,0.106870229,0.115156606,0.08117065,53148.34,35028.495,32846.07786,11606.67,52954.2,80735.09,-18728.312,10,45908.92,1,6066.95,0,0,0,0
BPS Hale Elementary,1,0.041666667,0.121198161,0.07917183,37355.93,37355.93,37355.93,37355.93,4527.47,4543.49,-1195.281,1,4527.47,0,0,0,0,0,0
BPS Dever Elementary,8,0.08988764,0.113080391,0.078998485,67183.12,51050.31,44203.055,8448.38,39987.99,62558.82,-16631.078,6,36416.16,4,25827.58,0,0,0,0
BPS East Boston High,1,0.006944444,0.124391358,0.071175332,60429.6,60429.6,60429.6,60429.6,7516.92,9509.84,-3851.306,1,7516.92,1,7516.92,0,0,0,0
BPS Special Education,2,0.002333722,0.140042949,0.071019307,59057.41,54033.495,54033.495,49009.58,15134.02,44843.72,-18299.279,2,15134.02,1,7362.93,0,0,0,0
BPS School Safety Service,12,0.146341463,0.159829436,0.070197968,67004.64,54908.04,56192.43917,46611.65,107774.47,261540,-111034.886,12,107774.47,10,96844.26,0,0,0,0
City Clerk,2,0.133333333,0.140953391,0.06371904,119065.84,85850.01,85850.01,52634.18,24201.7,31400.57,-17879.159,2,24201.7,2,24201.7,1,18021.1,1,18021.1
Ellison/Parks EES,2,0.040816327,0.103934077,0.057745128,65398.62,51930.61,51930.61,38462.6,10794.72,32263.18,-23608.512,2,10794.72,1,6741.48,0,0,0,0
ASD Purchasing Division,2,0.090909091,0.129399727,0.051496158,85733.55,78111.1,78111.1,70488.65,20215.11,24109.28,-22708.349,2,20215.11,2,20215.11,1,11647.29,0,0
Neighborhood Services,3,0.049180328,0.105705253,0.050266499,68933.18,57299.53,61176.84,57297.81,19400.14,48619.75,-48104.214,3,19400.14,3,19400.14,0,0,0,0
Boston Public Library,40,0.071174377,0.249775321,0.048023483,91424.4,52567.235,49789.4145,6363.11,497446.68,782716.47,-847145.452,35,470939.9,24,334023.51,4,44763.32,0,0
Public Facilities Department,5,0.078125,0.137518356,0.046949782,99307.31,84143.24,87767.178,72888.82,60347.99,154262.54,-174306.695,5,60347.99,5,60347.99,4,50668.08,0,0
BPS Channing Elementary,1,0.022727273,0.201215149,0.046862799,16070.46,16070.46,16070.46,16070.46,3233.62,3378.67,-3831.036,0,0,0,0,0,0,0,0
