FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length,NUMPOINTS
"1","1","25","025","010405","25025010405","104.05",Census Tract 104.05,G5020,S,"363702","0","+42.3398654","-071.0896052",3914567.53882,14629.5503615,666099.90625,6036.19285818522,"427"
"2","2","25","025","010404","25025010404","104.04",Census Tract 104.04,G5020,S,"136829","0","+42.3419667","-071.0886375",1472713.92432,5277.64321577,250612.40234375,2176.59212497029,"200"
"3","3","25","025","010801","25025010801","108.01",Census Tract 108.01,G5020,S,"127905","0","+42.3541193","-071.0770216",1376667.11743,6166.49716651,234357.90234375,2542.04297556689,"547"
"4","4","25","025","010702","25025010702","107.02",Census Tract 107.02,G5020,S,"299981","0","+42.3518354","-071.0755159",3228780.12085,7818.852369,549614.046875,3224.57298792188,"663"
"5","5","25","025","010204","25025010204","102.04",Census Tract 102.04,G5020,S,"254706","0","+42.3462887","-071.1033879",2741497.18237,7621.65420647,466585.234375,3143.61096317637,"169"
"6","6","25","025","010802","25025010802","108.02",Census Tract 108.02,G5020,S,"155467","0","+42.3515181","-071.0856803",1673329.61743,6466.34986242,284837.17578125,2666.11237496378,"128"
"7","7","25","025","010104","25025010104","101.04",Census Tract 101.04,G5020,S,"279354","7377","+42.3494322","-071.0937501",3086172.33789,9425.43877619,525294.9140625,3884.93375167838,"145"
"8","8","25","025","000703","25025000703","7.03",Census Tract 7.03,G5020,S,"178020","0","+42.3513290","-071.1282159",1916064.65308,7404.91186193,326153.765625,3052.8665910613,"201"
"9","9","25","025","000504","25025000504","5.04",Census Tract 5.04,G5020,S,"333187","0","+42.3414718","-071.1438264",3586159.71606,10594.2938323,610249.07421875,4370.41749878924,"131"
"10","10","25","025","000704","25025000704","7.04",Census Tract 7.04,G5020,S,"239781","0","+42.3500029","-071.1334045",2580833.97778,6954.89559159,439292.95703125,2870.10830362173,"107"
"11","11","25","025","010103","25025010103","101.03",Census Tract 101.03,G5020,S,"273032","0","+42.3497818","-071.1034479",2938702.46729,9706.3940082,500203.4453125,4000.08426560713,"204"
"12","12","25","025","000803","25025000803","8.03",Census Tract 8.03,G5020,S,"1158191","0","+42.3594775","-071.1212626",12465804.7639,24791.7485632,2122482.484375,10226.7442657668,"534"
"13","13","25","025","980300","25025980300","9803",Census Tract 9803,G5020,S,"2075986","27540","+42.3006134","-071.0946130",22640579.7627,21193.4892878,3847996.3515625,8740.78363901017,"60"
"14","14","25","025","120201","25025120201","1202.01",Census Tract 1202.01,G5020,S,"719468","0","+42.3051570","-071.1083675",7743687.53125,12549.5644104,1316220.796875,5174.53487795199,"957"
"15","15","25","025","120104","25025120104","1201.04",Census Tract 1201.04,G5020,S,"290296","0","+42.3056862","-071.1173049",3124502.38916,8689.20898602,531091.15234375,3583.98417764433,"64"
"16","16","25","025","110607","25025110607","1106.07",Census Tract 1106.07,G5020,S,"1171287","0","+42.2902868","-071.1346400",12606722.9739,20362.1458436,2141804.6796875,8391.04881326561,"466"
"17","17","25","025","000302","25025000302","3.02",Census Tract 3.02,G5020,S,"589888","46101","+42.3472584","-071.1676863",6845240.11194,12394.6489491,1165029.265625,5114.34408637276,"127"
"18","18","25","025","000301","25025000301","3.01",Census Tract 3.01,G5020,S,"572307","0","+42.3541442","-071.1688266",6159816.07324,12075.5484767,1048620.71484375,4982.87722880075,"242"
"19","19","25","025","140400","25025140400","1404",Census Tract 1404,G5020,S,"1878139","12733","+42.2692219","-071.1118088",20351684.2485,27429.2151594,3455346.5859375,11303.203337222,"474"
"20","20","25","025","140300","25025140300","1403",Census Tract 1403,G5020,S,"1547361","41485","+42.2587734","-071.1188131",17100930.3936,24203.906315,2902468.57421875,9975.1996702964,"830"
"21","21","25","025","140201","25025140201","1402.01",Census Tract 1402.01,G5020,S,"1329071","86300","+42.2375306","-071.1305713",15233749.2548,23532.9988089,2583795.6953125,9698.35128421774,"80"
"22","22","25","025","140202","25025140202","1402.02",Census Tract 1402.02,G5020,S,"1538700","17101","+42.2495181","-071.1175430",16745324.8584,18517.4717677,2841243.62890625,7631.15271653781,"477"
"23","23","25","025","140102","25025140102","1401.02",Census Tract 1401.02,G5020,S,"2080064","75318","+42.2446858","-071.1424773",23198637.8619,29471.497942,3935789.60546875,12149.098696331,"182"
"24","24","25","025","130402","25025130402","1304.02",Census Tract 1304.02,G5020,S,"2103293","169597","+42.2724011","-071.1694056",24463363.1614,27050.7057549,4153884.765625,11148.4198959961,"1083"
"25","25","25","025","130300","25025130300","1303",Census Tract 1303,G5020,S,"1442181","0","+42.2791295","-071.1507097",15522347.9758,18022.7234887,2636226.5,7428.26325510979,"1262"
"26","26","25","025","130200","25025130200","1302",Census Tract 1302,G5020,S,"1352655","0","+42.2873319","-071.1570120",14558816.7181,17768.4531467,2473224.23046875,7321.32904841337,"420"
"27","27","25","025","130100","25025130100","1301",Census Tract 1301,G5020,S,"4344387","45805","+42.2904255","-071.1714978",47252103.1166,34815.6965716,8027732.53125,14344.6619502961,"313"
"28","28","25","025","120700","25025120700","1207",Census Tract 1207,G5020,S,"297485","0","+42.3242557","-071.1112111",3201881.94189,10115.0764904,544562.078125,4171.27528261277,"36"
"29","29","25","025","120600","25025120600","1206",Census Tract 1206,G5020,S,"258212","0","+42.3191097","-071.1088407",2779177.05225,6552.98713991,472593.67578125,2702.51280448555,"44"
"30","30","25","025","120500","25025120500","1205",Census Tract 1205,G5020,S,"213705","0","+42.3206587","-071.1042025",2300163.93896,7651.37153615,391157.59375,3154.68663596852,"66"
"31","31","25","025","120400","25025120400","1204",Census Tract 1204,G5020,S,"998928","0","+42.3139015","-071.1116653",10751638.5999,18275.9009524,1827995.91796875,7538.40744271404,"155"
"32","32","25","025","110601","25025110601","1106.01",Census Tract 1106.01,G5020,S,"1406583","8282","+42.2983302","-071.1397069",15228405.802,16797.449945,2587677.55859375,6922.91008972199,"87"
"33","33","25","025","110502","25025110502","1105.02",Census Tract 1105.02,G5020,S,"684298","0","+42.2829171","-071.1326050",7365204.54858,12531.1381635,1251013.1328125,5165.09284242276,"350"
"34","34","25","025","110501","25025110501","1105.01",Census Tract 1105.01,G5020,S,"647848","0","+42.2821618","-071.1414486",6972865.51123,11753.6811482,1184344.375,4846.05526817779,"134"
"35","35","25","025","110401","25025110401","1104.01",Census Tract 1104.01,G5020,S,"522448","0","+42.2864332","-071.1225529",5623201.08154,10417.9003526,955231.671875,4296.61492096417,"147"
"36","36","25","025","101102","25025101102","1011.02",Census Tract 1011.02,G5020,S,"561244","0","+42.2787961","-071.0920462",6040704.51465,13965.6270899,1025908.19921875,5759.17788168352,"107"
"37","37","25","025","101101","25025101101","1011.01",Census Tract 1011.01,G5020,S,"379768","0","+42.2826649","-071.0950819",4087498.72461,9103.37152728,694274.4765625,3754.78058928543,"51"
"38","38","25","025","101002","25025101002","1010.02",Census Tract 1010.02,G5020,S,"1165212","4369","+42.2740572","-071.0853267",12588331.043,16677.8434111,2137594.921875,6872.71133071879,"257"
"39","39","25","025","101001","25025101001","1010.01",Census Tract 1010.01,G5020,S,"1296283","5844","+42.2718109","-071.0999859",14014997.854,20032.199884,2379706.25390625,8259.19953696272,"683"
"40","40","25","025","100900","25025100900","1009",Census Tract 1009,G5020,S,"955495","45716","+42.2740065","-071.0742308",10776155.2551,20468.8922143,1829853.09765625,8429.16662956331,"766"
"41","41","25","025","100800","25025100800","1008",Census Tract 1008,G5020,S,"1765783","141896","+42.2771920","-071.0638243",20532589.1318,22477.6002265,3487002.55859375,9267.43112412429,"154"
"42","42","25","025","100601","25025100601","1006.01",Census Tract 1006.01,G5020,S,"552585","0","+42.2908491","-071.0562794",5947564.58643,11109.0759745,1010472.77734375,4576.55435188031,"147"
"43","43","25","025","100500","25025100500","1005",Census Tract 1005,G5020,S,"858932","0","+42.2882344","-071.0707474",9244789.60718,14365.5337336,1570532.11328125,5920.39583435135,"450"
"44","44","25","025","100400","25025100400","1004",Census Tract 1004,G5020,S,"626173","0","+42.2817870","-071.0708447",6739591.91821,12079.7446574,1144708.9453125,4975.92868904649,"243"
"45","45","25","025","100300","25025100300","1003",Census Tract 1003,G5020,S,"491879","0","+42.2827979","-071.0797972",5294161.32837,10527.2790166,899233.578125,4340.72855910233,"152"
"46","46","25","025","981300","25025981300","9813",Census Tract 9813,G5020,S,"7157254","2015092","+42.3611289","-071.0069754",98723756.7383,51444.0986975,16811736.7460938,21227.2562939141,"68"
"47","47","25","025","981201","25025981201","9812.01",Census Tract 9812.01,G5020,S,"786643","1328333","+42.3320503","-071.0270465",22763824.4985,36020.2897157,3872509.68359375,14850.6009654205,"25"
"48","48","25","025","990101","25025990101","9901.01",Census Tract 9901.01,G5020,S,"0","134592489","+42.3296110","-070.9491995",1448644626.59,511277.844523,246707305.625,210885.112888145,"0"
"49","49","25","025","981501","25025981501","9815.01",Census Tract 9815.01,G5020,S,"915439","1178787","+42.3524288","-071.0878101",22540613.2942,79690.858339,3837848.47265625,32869.3138076019,"4"
"50","50","25","025","981700","25025981700","9817",Census Tract 9817,G5020,S,"314777","14973","+42.3550872","-071.0657432",3549169.38379,7993.45431901,604206.3203125,3297.01365325035,"55"
"51","51","25","025","981800","25025981800","9818",Census Tract 9818,G5020,S,"703274","393640","+42.3231211","-071.1168818",11806322.0847,41007.470197,2008240.65625,16921.9519269204,"25"
"52","52","25","025","100200","25025100200","1002",Census Tract 1002,G5020,S,"350592","0","+42.2848004","-071.0857215",3773472.4458,9108.80427292,640979.3359375,3752.88606760717,"200"
"53","53","25","025","100100","25025100100","1001",Census Tract 1001,G5020,S,"1037011","874","+42.2902498","-071.0873027",11170897.9644,14547.2762879,1897861.25,5995.51073562287,"372"
"54","54","25","025","092400","25025092400","924",Census Tract 924,G5020,S,"594010","0","+42.2960418","-071.0849877",6393422.53296,13256.9792718,1086400.23046875,5465.17583904128,"208"
"55","55","25","025","092300","25025092300","923",Census Tract 923,G5020,S,"342974","0","+42.2939435","-071.0750607",3691503.29736,7869.77906303,627236.04296875,3244.82003509415,"320"
"56","56","25","025","092200","25025092200","922",Census Tract 922,G5020,S,"581304","0","+42.2950231","-071.0661698",6256656.21338,11202.6481442,1063126.203125,4618.31105663154,"389"
"57","57","25","025","092000","25025092000","920",Census Tract 920,G5020,S,"489737","0","+42.2996758","-071.0675668",5271120.79248,11681.5113966,895795.6796875,4815.16925123877,"277"
"58","58","25","025","091900","25025091900","919",Census Tract 919,G5020,S,"481985","0","+42.3008408","-071.0755308",5187639.7356,9616.39912837,881641.06640625,3965.83866150115,"207"
"59","59","25","025","091800","25025091800","918",Census Tract 918,G5020,S,"432061","0","+42.3073664","-071.0705167",4650342.47168,8931.69723146,790489.4140625,3681.999449476,"149"
"60","60","25","025","091700","25025091700","917",Census Tract 917,G5020,S,"289325","0","+42.3036111","-071.0659136",3114052.12354,9117.10557038,529280.40625,3758.10647583173,"90"
"61","61","25","025","091600","25025091600","916",Census Tract 916,G5020,S,"312698","0","+42.3060364","-071.0611894",3365584.50952,10161.330667,572075.76171875,4190.20548259654,"583"
"62","62","25","025","981100","25025981100","9811",Census Tract 9811,G5020,S,"2713614","19091","+42.2879942","-071.1034042",29412396.2126,30468.2768885,4996616.41796875,12560.1024907628,"22"
"63","63","25","025","140105","25025140105","1401.05",Census Tract 1401.05,G5020,S,"1010909","0","+42.2679970","-071.1251892",10880533.0005,14211.2682926,1847240.33984375,5857.41548363717,"218"
"64","64","25","025","980700","25025980700","9807",Census Tract 9807,G5020,S,"2887914","53081","+42.2650180","-071.1400504",31654255.1947,40788.8545648,5373415.26953125,16813.0533514963,"0"
"65","65","25","025","120105","25025120105","1201.05",Census Tract 1201.05,G5020,S,"1837989","2474","+42.3087398","-071.1262938",19809165.8318,25165.9310095,3367475.51171875,10379.7638799819,"347"
"66","66","25","025","120301","25025120301","1203.01",Census Tract 1203.01,G5020,S,"662925","0","+42.3126415","-071.1019313",7135172.56494,13030.0057408,1213075.3203125,5375.31876643158,"311"
"67","67","25","025","071201","25025071201","712.01",Census Tract 712.01,G5020,S,"402228","0","+42.3398063","-071.0670729",4329260.47412,11121.2076411,736662.2890625,4587.85734639593,"1024"
"68","68","25","025","091001","25025091001","910.01",Census Tract 910.01,G5020,S,"1186620","449817","+42.3082694","-071.0516795",17613171.4653,24890.9320227,2994169.46875,10266.3842346918,"346"
"69","69","25","025","091500","25025091500","915",Census Tract 915,G5020,S,"404166","0","+42.3114941","-071.0643707",4350093.55127,9075.23628108,739547.69921875,3741.25299039339,"308"
"70","70","25","025","091400","25025091400","914",Census Tract 914,G5020,S,"325020","0","+42.3152689","-071.0698538",3498284.32349,8323.23507336,594804.56640625,3432.75228517248,"60"
"71","71","25","025","091300","25025091300","913",Census Tract 913,G5020,S,"262560","0","+42.3199357","-071.0668701",2825980.80713,8134.30524342,480564.99609375,3353.51281779723,"585"
"72","72","25","025","091200","25025091200","912",Census Tract 912,G5020,S,"323612","0","+42.3163259","-071.0622198",3483077.77856,8911.88958936,592238.74609375,3675.6647694578,"336"
"73","73","25","025","091100","25025091100","911",Census Tract 911,G5020,S,"423899","0","+42.3156410","-071.0555949",4562470.45728,9194.18994392,775754.59375,3793.01813145752,"176"
"74","74","25","025","090700","25025090700","907",Census Tract 907,G5020,S,"1072571","0","+42.3241310","-071.0600285",11544136.4336,13935.604793,1963368.17578125,5747.79757640492,"531"
"75","75","25","025","090600","25025090600","906",Census Tract 906,G5020,S,"301664","0","+42.3229604","-071.0722753",3246866.1333,8954.07407296,552190.24609375,3692.14205654271,"149"
"76","76","25","025","090400","25025090400","904",Census Tract 904,G5020,S,"425135","0","+42.3171635","-071.0747098",4575787.70947,10156.3379803,778056.171875,4189.02250089943,"110"
"77","77","25","025","090300","25025090300","903",Census Tract 903,G5020,S,"380394","0","+42.3109366","-071.0765050",4094225.77271,9086.81768222,696036.2578125,3746.26268509731,"184"
"78","78","25","025","090200","25025090200","902",Census Tract 902,G5020,S,"273671","0","+42.3071378","-071.0790559",2945580.08667,8027.63989461,500701.4453125,3310.79505530541,"86"
"79","79","25","025","980101","25025980101","9801.01",Census Tract 9801.01,G5020,S,"3191250","5488830","+42.3265116","-070.9390337",93425084.4897,114000.626904,15891530.1328125,47017.0459367008,"250"
"80","80","25","025","040801","25025040801","408.01",Census Tract 408.01,G5020,S,"952430","752502","+42.3790410","-071.0520372",18350587.012,21324.7755385,3126373.921875,8802.63319685586,"73"
"81","81","25","025","010203","25025010203","102.03",Census Tract 102.03,G5020,S,"365106","1185","+42.3453168","-071.0968040",3942467.47144,11146.948008,670950.6640625,4596.2949267695,"453"
"82","82","25","025","110403","25025110403","1104.03",Census Tract 1104.03,G5020,S,"942869","7697","+42.2782721","-071.1269738",10231036.384,14389.8748635,1737514.15234375,5930.89880721482,"196"
"83","83","25","025","110201","25025110201","1102.01",Census Tract 1102.01,G5020,S,"348208","0","+42.2804960","-071.1170508",3747839.93311,10276.929778,636538.9921875,4237.48067258263,"233"
"84","84","25","025","981000","25025981000","9810",Census Tract 9810,G5020,S,"1126260","4754","+42.2988831","-071.1267059",12173242.6838,19885.5982044,2068710.0234375,8200.41975744304,"34"
"85","85","25","025","090100","25025090100","901",Census Tract 901,G5020,S,"446992","0","+42.3023757","-071.0820198",4811070.97729,10600.5412866,817682.5859375,4374.48622960455,"673"
"86","86","25","025","082100","25025082100","821",Census Tract 821,G5020,S,"370577","0","+42.3094485","-071.0872292",3988567.23804,8685.7034887,678041.91796875,3582.35272890754,"351"
"87","87","25","025","082000","25025082000","820",Census Tract 820,G5020,S,"392158","0","+42.3137479","-071.0839483",4220856.0874,8415.12905376,717627.2890625,3469.77270844333,"155"
"88","88","25","025","081900","25025081900","819",Census Tract 819,G5020,S,"433385","0","+42.3154742","-071.0896520",4664571.96118,11679.0318604,793110.59375,4816.72346921793,"166"
"89","89","25","025","081800","25025081800","818",Census Tract 818,G5020,S,"373920","0","+42.3203184","-071.0800303",4024571.83813,10156.0917068,684396.71875,4191.46690503857,"496"
"90","90","25","025","081700","25025081700","817",Census Tract 817,G5020,S,"633564","0","+42.3226962","-071.0860340",6819156.25391,11607.8757495,1159715.2890625,4789.14923154653,"200"
"91","91","25","025","081500","25025081500","815",Census Tract 815,G5020,S,"336293","0","+42.3207186","-071.0929141",3619583.12671,11696.8462195,615534.33984375,4824.79066223944,"83"
"92","92","25","025","081400","25025081400","814",Census Tract 814,G5020,S,"620481","0","+42.3277602","-071.0937549",6678367.07495,14960.4158969,1135952.7109375,6170.1768010315,"185"
"93","93","25","025","081300","25025081300","813",Census Tract 813,G5020,S,"580338","0","+42.3193270","-071.0976901",6246271.60718,13459.4012853,1062173.62109375,5552.33658955175,"140"
"94","94","25","025","110103","25025110103","1101.03",Census Tract 1101.03,G5020,S,"935088","0","+42.2961825","-071.1157388",10064472.9624,23502.1942926,1710209.625,9686.15639548028,"281"
"95","95","25","025","110301","25025110301","1103.01",Census Tract 1103.01,G5020,S,"817929","0","+42.2868052","-071.1132775",8803506.22485,14601.0718027,1495498.00390625,6019.19806182934,"373"
"96","96","25","025","140106","25025140106","1401.06",Census Tract 1401.06,G5020,S,"279850","3116","+42.2738738","-071.1371416",3045619.77246,7708.97873732,517182.578125,3177.16005697387,"34"
"97","97","25","025","010701","25025010701","107.01",Census Tract 107.01,G5020,S,"202317","0","+42.3497223","-071.0838808",2177562.1582,6897.93964525,370647.10546875,2844.34411356075,"308"
"98","98","25","025","010408","25025010408","104.08",Census Tract 104.08,G5020,S,"43381","0","+42.3431682","-071.0958461",466915.075928,2806.19601773,79458.140625,1157.94658059624,"44"
"99","99","25","025","000503","25025000503","5.03",Census Tract 5.03,G5020,S,"139156","0","+42.3396360","-071.1500992",1497746.6604,5819.53878416,254853.6015625,2400.16967356591,"25"
"100","100","25","025","081200","25025081200","812",Census Tract 812,G5020,S,"282374","0","+42.3244316","-071.1038626",3039251.67358,7954.9251845,516905.48046875,3278.49016409003,"192"
"101","101","25","025","081100","25025081100","811",Census Tract 811,G5020,S,"495877","0","+42.3283906","-071.1074808",5337204.77954,15480.3263267,907846.23046875,6384.90805273513,"378"
"102","102","25","025","080900","25025080900","809",Census Tract 809,G5020,S,"256667","0","+42.3323459","-071.1016908",2762558.85229,8128.2369931,469963.61328125,3351.81869296448,"129"
"103","103","25","025","080801","25025080801","808.01",Census Tract 808.01,G5020,S,"364700","0","+42.3346057","-071.0962095",3925348.89063,7938.63204876,667823.953125,3272.8685802654,"183"
"104","104","25","025","080601","25025080601","806.01",Census Tract 806.01,G5020,S,"560163","0","+42.3333666","-071.0880449",6029101.2019,16858.244955,1025696.81640625,6950.80700600268,"1989"
"105","105","25","025","080500","25025080500","805",Census Tract 805,G5020,S,"245570","0","+42.3356824","-071.0825418",2643088.91064,7940.99320038,449686.703125,3274.72537253619,"242"
"106","106","25","025","080401","25025080401","804.01",Census Tract 804.01,G5020,S,"440468","0","+42.3321186","-071.0808985",4740788.8291,12695.0225959,806492.17578125,5235.83066795286,"416"
"107","107","25","025","080300","25025080300","803",Census Tract 803,G5020,S,"268832","0","+42.3274519","-071.0790504",2893472.77954,8588.76738348,492158.69921875,3543.020158633,"200"
"108","108","25","025","071101","25025071101","711.01",Census Tract 711.01,G5020,S,"362769","0","+42.3359561","-071.0727569",3904559.50122,9135.15437702,664314.97265625,3768.05010511488,"628"
"109","109","25","025","070900","25025070900","709",Census Tract 709,G5020,S,"167469","0","+42.3384283","-071.0781591",1802491.04932,5669.42763809,306696.59765625,2338.29241549407,"227"
"110","110","25","025","140107","25025140107","1401.07",Census Tract 1401.07,G5020,S,"627360","0","+42.2577216","-071.1284206",6752343.69971,15097.9437658,1146007.76953125,6222.63876204734,"137"
"111","111","25","025","130404","25025130404","1304.04",Census Tract 1304.04,G5020,S,"1602605","35273","+42.2689968","-071.1594658",17628731.8192,18952.1763665,2992962.046875,7814.68147206278,"99"
"112","112","25","025","130406","25025130406","1304.06",Census Tract 1304.06,G5020,S,"1048780","5879","+42.2600645","-071.1514976",11351426.7588,17818.0254597,1926705.26953125,7342.64687611835,"83"
"113","113","25","025","120103","25025120103","1201.03",Census Tract 1201.03,G5020,S,"353248","0","+42.3117567","-071.1182632",3802045.2688,7858.69013094,646380.8203125,3240.35876800213,"32"
"114","114","25","025","100700","25025100700","1007",Census Tract 1007,G5020,S,"1203877","173339","+42.2826719","-071.0479602",14823155.4392,17391.3982615,2517734.421875,7167.21884675236,"136"
