,FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length,NUMPOINTS,PERCENT,PAY_AMOUNT,MINUTES_WORKED,PAY_HOURS
0,1,1,25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,363702,0,42.3398654,-71.0896052,3914567.539,14629.55036,666099.9063,6036.192858,427,0.006047302,154608,131267,3228
1,2,2,25,25,10404,25025010404,104.04,Census Tract 104.04,G5020,S,136829,0,42.3419667,-71.0886375,1472713.924,5277.643216,250612.4023,2176.592125,200,0.00283246,66628,58935,1400
2,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976,547,0.007746778,194904,179845,4140
3,4,4,25,25,10702,25025010702,107.02,Census Tract 107.02,G5020,S,299981,0,42.3518354,-71.0755159,3228780.121,7818.852369,549614.0469,3224.572988,663,0.009389605,223112,195475,4756
4,5,5,25,25,10204,25025010204,102.04,Census Tract 102.04,G5020,S,254706,0,42.3462887,-71.1033879,2741497.182,7621.654206,466585.2344,3143.610963,169,0.002393429,61359,54385,1309
5,6,6,25,25,10802,25025010802,108.02,Census Tract 108.02,G5020,S,155467,0,42.3515181,-71.0856803,1673329.617,6466.349862,284837.1758,2666.112375,128,0.001812774,43266,39195,923
6,7,7,25,25,10104,25025010104,101.04,Census Tract 101.04,G5020,S,279354,7377,42.3494322,-71.0937501,3086172.338,9425.438776,525294.9141,3884.933752,145,0.002053533,50732,43005,1084
7,8,8,25,25,703,25025000703,7.03,Census Tract 7.03,G5020,S,178020,0,42.351329,-71.1282159,1916064.653,7404.911862,326153.7656,3052.866591,201,0.002846622,70392,61662,1508
8,9,9,25,25,504,25025000504,5.04,Census Tract 5.04,G5020,S,333187,0,42.3414718,-71.1438264,3586159.716,10594.29383,610249.0742,4370.417499,131,0.001855261,45952,40125,976
9,10,10,25,25,704,25025000704,7.04,Census Tract 7.04,G5020,S,239781,0,42.3500029,-71.1334045,2580833.978,6954.895592,439292.957,2870.108304,107,0.001515366,37912,32618,808
10,11,11,25,25,10103,25025010103,101.03,Census Tract 101.03,G5020,S,273032,0,42.3497818,-71.1034479,2938702.467,9706.394008,500203.4453,4000.084266,204,0.002889109,72368,63609,1548
11,12,12,25,25,803,25025000803,8.03,Census Tract 8.03,G5020,S,1158191,0,42.3594775,-71.1212626,12465804.76,24791.74856,2122482.484,10226.74427,534,0.007562668,195164,198240,4147
12,13,13,25,25,980300,25025980300,9803,Census Tract 9803,G5020,S,2075986,27540,42.3006134,-71.094613,22640579.76,21193.48929,3847996.352,8740.783639,60,0.000849738,21328,19048,460
13,14,14,25,25,120201,25025120201,1202.01,Census Tract 1202.01,G5020,S,719468,0,42.305157,-71.1083675,7743687.531,12549.56441,1316220.797,5174.534878,957,0.013553321,351964,350445,7490
14,15,15,25,25,120104,25025120104,1201.04,Census Tract 1201.04,G5020,S,290296,0,42.3056862,-71.1173049,3124502.389,8689.208986,531091.1523,3583.984178,64,0.000906387,21780,17955,460
15,16,16,25,25,110607,25025110607,1106.07,Census Tract 1106.07,G5020,S,1171287,0,42.2902868,-71.13464,12606722.97,20362.14584,2141804.68,8391.048813,466,0.006599632,165536,167725,3546
16,17,17,25,25,302,25025000302,3.02,Census Tract 3.02,G5020,S,589888,46101,42.3472584,-71.1676863,6845240.112,12394.64895,1165029.266,5114.344086,127,0.001798612,46576,45720,990
17,18,18,25,25,301,25025000301,3.01,Census Tract 3.01,G5020,S,572307,0,42.3541442,-71.1688266,6159816.073,12075.54848,1048620.715,4982.877229,242,0.003427277,88180,78975,1858
18,19,19,25,25,140400,25025140400,1404,Census Tract 1404,G5020,S,1878139,12733,42.2692219,-71.1118088,20351684.25,27429.21516,3455346.586,11303.20334,474,0.00671293,168834,156795,3617
19,20,20,25,25,140300,25025140300,1403,Census Tract 1403,G5020,S,1547361,41485,42.2587734,-71.1188131,17100930.39,24203.90632,2902468.574,9975.19967,830,0.011754709,298458,287906,6355
20,21,21,25,25,140201,25025140201,1402.01,Census Tract 1402.01,G5020,S,1329071,86300,42.2375306,-71.1305713,15233749.25,23532.99881,2583795.695,9698.351284,80,0.001132984,27400,24675,588
21,22,22,25,25,140202,25025140202,1402.02,Census Tract 1402.02,G5020,S,1538700,17101,42.2495181,-71.117543,16745324.86,18517.47177,2841243.629,7631.152717,477,0.006755417,174744,177390,3730
22,23,23,25,25,140102,25025140102,1401.02,Census Tract 1401.02,G5020,S,2080064,75318,42.2446858,-71.1424773,23198637.86,29471.49794,3935789.605,12149.0987,182,0.002577539,67062,61195,1413
23,24,24,25,25,130402,25025130402,1304.02,Census Tract 1304.02,G5020,S,2103293,169597,42.2724011,-71.1694056,24463363.16,27050.70575,4153884.766,11148.4199,1083,0.015337771,396482,376400,8399
