,address,LAT,LONG
221,28 CONGRESS ST AND ATLANTIC AV,42.232322,-71.013936
2340,STANBRO ST AND MEADOW R,42.235127,-71.130881
1281,MT VERNON ST AND ADAMS ST,42.23517,-71.15726
1963,119 ADAMS ST,42.235701,-71.156516
2369,RILEY R,42.236787,-71.128331
1253,1 BRANCH ST,42.237402,-71.014856
2548,CRANMORE R,42.240557,-71.124061
2755,14 DANNY RD AND READVILLE ST,42.240847,-71.136911
2281,CHESTERFIELD ST AND REYNOLDS R,42.241397,-71.136751
1132,334 RIVER ST,42.242671,-71.144577
1029,952 RIVER ST,42.242813,-71.14411
1561,54 SOLARIS R,42.244371,-71.144396
1318,175 WILLIAMS AV,42.245035,-71.114882
2751,PROSPECT ST AND SKYLINE R,42.247217,-71.112461
2759,SKYLINE R,42.24736,-71.1144
2622,TRUMAN PY AND FAIRMOUNT AV,42.248004,-71.124099
1448,WALNUT AND DANA AV,42.248667,-71.120671
2526,WARREN AV AND DUNREATH ST,42.250827,-71.115321
2800,SUNNYSIDE ST AND DRURY R,42.251147,-71.133491
345,WASHINGTON ST AND TEMPLE ST,42.251399,-71.002345
1075,FAIRMOUNT AV AND SUMMIT AV,42.2515,-71.1148
1107,FAIRMOUNT AV AND HIGHLAND AV,42.2515,-71.1148
1543,FAIRMOUNT AV AND THIRD NEW WY,42.2515,-71.1148
1978,HIGHLAND AV AND FAIRMOUNT AV,42.2515,-71.1148
2284,FAIRMOUNT AV AND HIGH ST,42.2515,-71.1148
2400,SUMMIT AV AND FAIRMOUNT AV,42.2515,-71.1148
2379,6 SUMMIT ST,42.252148,-71.1094
1681,DUSTIN ST AND CUSHMAN R,42.252645,-71.040304
2602,527 ADAMS ST,42.253241,-71.024685
1545,89 COLBURN ST,42.253773,-71.15134
966,FAIRMOUNT AV AND BEACON ST,42.255357,-71.112691
737,227 ADAMS ST,42.255368,-71.014307
998,51 CARROLTON R,42.255627,-71.158701
157,RIVER ST AND HYDE PARK AV,42.2557,-71.1245
472,95 HYDE PARK AV AND UKRAINE WY,42.2557,-71.1245
500,UKRAINE WY AND HYDE PARK AV,42.2557,-71.1245
679,ARLINGTON ST AND HYDE PARK AV,42.2557,-71.1245
700,HYDE PARK AV AND ARLINGTON AV,42.2557,-71.1245
720,93 HYDE PARK AV AND UKRAINE WY,42.2557,-71.1245
981,HYDE PARK AV AND TRUMAN PY,42.2557,-71.1245
1042,102 HYDE PARK AV AND UKRAINE WY,42.2557,-71.1245
1223,HYDE PARK AV AND STELLA R,42.2557,-71.1245
