,address,LAT,LONG
12641,771 BEACON ST,42.330674,-71.192083
195,HIGH ST AND SUMMER ST,42.334264,-71.191804
978,1 SUMMER ST AND BOYLSTON ST,42.338195,-71.191394
8300,HARVARD ST AND GARDNER ST,42.359619,-71.191343
8619,732 BEACON ST,42.330447,-71.1905
11951,WAVERLY ST AND BIRMINGHAM PY,42.3873,-71.1892
14126,531 COMMONWEALTH AV,42.336441,-71.188352
1781,CUSHMAN R,42.371935,-71.187817
9005,7 MERCHANTS RW,42.366022,-71.184664
3918,29 N BEACON ST,42.364587,-71.182307
9578,37 N BEACON ST,42.364587,-71.182307
15702,43 N BEACON ST,42.364388,-71.181795
14976,36 N BEACON ST,42.364712,-71.180691
5017,357 COMMONWEALTH AV,42.336453,-71.180475
10377,12 ST JAMES ST,42.3583,-71.180267
1069,6 ST JAMES ST,42.358465,-71.180146
8165,BEACON ST AND COMMONWEALTH AV,42.265841,-71.179935
8609,COMMONWEALTH AV AND BEACON ST,42.265841,-71.179935
10290,465 BEACON ST,42.332646,-71.178536
6783,FRANKLIN ST AND ARCH ST,42.389867,-71.177831
7028,2 FRANKLIN ST AND HIGH ST,42.348931,-71.175811
122,12 CHARLES ST AND BRIGHTON AV,42.389562,-71.175767
16253,75 HUNNEWELL AV,42.356212,-71.175496
9066,168 N BEACON ST,42.363774,-71.174814
10623,HUNNEWELL AV,42.355487,-71.174324
13783,863 GARDNER ST,42.278467,-71.174041
2402,1175 BOYLSTON ST AND VINE ST,42.303108,-71.172737
509,67 BURTON ST,42.355247,-71.171331
11992,75 BURTON ST,42.355437,-71.171111
6316,WEST ST AND WASHINGTON ST,42.386541,-71.170968
13953,267 N BEACON ST,42.362637,-71.170796
3122,1 LEDGE HILL R,42.273504,-71.170225
9251,CENTRE ST AND LAGRANGE ST,42.29309,-71.169754
15496,LAGRANGE ST AND COREY ST,42.301083,-71.169738
15925,OAKMERE ST AND HEMLOCK R,42.269947,-71.169661
6945,CHARLES ST AND BOYLSTON ST,42.32259,-71.169426
11182,LASELL ST AND VFW PY,42.279266,-71.169307
15970,46 BRECK AV,42.349007,-71.168691
8175,JUSTIN R,42.353124,-71.168614
11312,22 BRECK AV,42.349587,-71.167991
12708,57 BIGELOW ST,42.353947,-71.167281
4377,102 BIGELOW ST,42.35558,-71.167242
12816,106 BIGELOW ST,42.355707,-71.167191
9759,17 CROSSTOWN AV,42.261969,-71.167171
2579,11 CROSSTOWN AV,42.261704,-71.167104
12519,8 COMMONWEALTH AV,42.339403,-71.167087
3361,UNDINE R,42.342227,-71.167081
4593,BEACON ST AND RESERVOIR R,42.336664,-71.166962
5476,8 ADAIR R,42.351837,-71.166911
10735,21 UNDINE R,42.342187,-71.166711
5909,CHESTNUT HILL AV AND STRATHMORE R,42.3307,-71.1662
11517,63 CHESTNUT HILL AV AND CAROL AV,42.3307,-71.1662
11721,381 CHESTNUT HILL AV AND WASHINGTON ST,42.3307,-71.1662
11787,CHESTNUT HILL AV AND BEACON ST,42.3307,-71.1662
14709,CHESTNUT HILL AV AND ACADEMY HILL R,42.3307,-71.1662
14986,CHESTNUT HILL AV AND JACKSON AV,42.3307,-71.1662
15358,CONCORD AV,42.392583,-71.165434
14134,64 LANGLEY R,42.349457,-71.165301
7339,1 PERTHSHIRE R,42.353717,-71.165081
12640,KEYSTONE ST AND GLENHAVEN R,42.269037,-71.164951
14914,KEYSTONE ST AND NORTHDALE R,42.269037,-71.164951
175,9 VOGEL ST AND STELLMAN R,42.266042,-71.164862
14977,164 BIGELOW ST,42.356027,-71.164811
6550,168 BIGELOW ST,42.355968,-71.164651
2795,97 LANGLEY R,42.348867,-71.164251
13027,101 LANGLEY R,42.348827,-71.164101
1333,LEDGEWOOD R,42.294877,-71.164091
12231,6 CEDAR AV AND HIGH ST,42.315919,-71.163435
12803,46 FAIRBANKS ST,42.350567,-71.163181
6492,17 GREYMERE R,42.348432,-71.162952
7052,11 FAIRBANKS ST,42.349507,-71.162851
8886,GREYMERE R,42.348307,-71.162591
134,COREY ST AND FERNCROFT R,42.29246,-71.162067
1226,COREY ST AND GARTH R,42.29246,-71.162067
10795,COREY ST AND LEDGEWOOD R,42.29246,-71.162067
11870,COREY ST AND LEDGEMERE R,42.29246,-71.162067
12099,COREY ST AND FURBUSH R,42.29246,-71.162067
5498,92 HOBART ST,42.355293,-71.162033
12297,16 DICKINSON R,42.348557,-71.161931
467,63 TURNER ST,42.351417,-71.161851
5095,DICKINSON R,42.348137,-71.161771
13454,4 GREYCLIFFE R,42.340456,-71.161311
14647,18 BOTHWELL R,42.353027,-71.160801
2015,OLIVER ST AND HIGH ST,42.349487,-71.160041
11098,81 CHESTNUT HILL DR,42.331804,-71.159739
3521,194 COREY ST AND RUSTLEWOOD R,42.289627,-71.159061
4653,CIRCUIT DR,42.327069,-71.158983
8196,16 BRIGHTON ST,42.395045,-71.158859
11936,1 CORINNE R,42.355778,-71.158842
13206,51 CARROLTON R,42.255627,-71.158701
16060,197 FOSTER ST,42.343667,-71.158341
12421,165 FOSTER ST,42.345277,-71.157941
16327,2 CONCORD AV,42.390554,-71.15783
16125,WELD ST AND RUSSETT R,42.294533,-71.157354
15912,MT VERNON ST AND ADAMS ST,42.23517,-71.15726
6426,119 ADAMS ST,42.235701,-71.156516
8604,INDEPENDENCE DR,42.298705,-71.156321
10091,PORTINA R,42.343304,-71.156228
4009,216 ROCKLAND ST,42.255716,-71.155805
974,PARSONS ST AND RIVERVIEW R,42.354217,-71.155261
5811,93 ACADEMY HILL R,42.346147,-71.154771
14257,198 STRATHMORE R,42.340127,-71.154741
5696,WILTSHIRE R,42.343887,-71.154721
11439,39 SURREY ST,42.350627,-71.154671
6540,193 STRATHMORE R,42.340427,-71.154461
1234,274 LAGRANGE ST AND REDGATE R,42.277587,-71.154351
8529,25 LEICESTER ST,42.349987,-71.154261
12612,OAK ST AND SHAWMUT ST,42.34932,-71.154176
4646,164 STRATHMORE R,42.339797,-71.154031
3515,421 MARKET ST,42.349586,-71.153696
737,276 LAGRANGE ST AND REDGATE R,42.277494,-71.153651
539,163 STRATHMORE R,42.339907,-71.153511
10325,25 FRANCIS ST,42.37461,-71.153494
13435,425 MARKET ST,42.34912,-71.153428
14004,15 ARLINGTON ST AND BOYLSTON ST,42.352099,-71.153413
15442,155 STRATHMORE R,42.339687,-71.153381
13840,153 STRATHMORE R,42.339587,-71.153311
4897,57 CLARENDON ST AND HARVARD ST,42.36551,-71.153305
8555,11 FRANCIS ST,42.374017,-71.153293
5307,412 MARKET ST,42.34947,-71.153142
14231,CHISWICK R,42.340487,-71.153111
16126,CHISWICK RD AND LOTHIAN R,42.340487,-71.153111
13618,32 ACADEMY HILL R,42.347997,-71.153031
13057,32 SIDLAW R,42.340467,-71.152871
8992,24 ACADEMY HILL R,42.348257,-71.152851
5008,396 MARKET ST,42.349885,-71.152773
1967,MAIN ST,42.264077,-71.152771
2194,28 SIDLAW R,42.340367,-71.152701
3472,16 SIDLAW R,42.340009,-71.15263
841,386 MARKET ST,42.350163,-71.152588
14774,4 SOUTH ST,42.307604,-71.152565
937,85 MAIN ST,42.263908,-71.152477
2166,31 MAIN ST,42.263908,-71.152477
3496,26 MAIN ST,42.263908,-71.152477
12786,63 MAIN ST,42.263908,-71.152477
15437,43 MAIN ST,42.263908,-71.152477
9406,28 WALLINGFORD R,42.341638,-71.152445
3082,14 MAIN ST,42.263908,-71.152432
10275,125 CHISWICK R,42.340827,-71.152411
13376,2 SOUTH ST,42.307396,-71.152142
9159,81 WALLINGFORD R,42.344397,-71.152001
4672,WALLINGFORD R,42.342914,-71.151983
404,295 MARKET ST,42.352937,-71.151661
