INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192050425,3001,Medical Assistance,DEATH INVESTIGATION,E5,696,,2019-07-02 9:55,2019,7,Tuesday,9,Part Three,WILLOW ST,42.29103809,-71.15486564,"(42.29103809, -71.15486564)"
192103722,3110,,SERVICE TO OTHER AGENCY,B3,438,0,2019-12-26 8:07,2019,12,Thursday,8,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
192103063,3410,,TOWED MOTOR VEHICLE,B3, ,0,2019-12-23 11:15,2019,12,Monday,11,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
192102652,3301,,VERBAL DISPUTE,B3,438,0,2019-12-21 15:51,2019,12,Saturday,15,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
192088275,3301,,VERBAL DISPUTE,B3,438,0,2019-10-31 16:07,2019,10,Thursday,16,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
192083900,3006,,SICK/INJURED/MEDICAL - PERSON,B3,438,0,2019-10-16 18:40,2019,10,Wednesday,18,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
192082825,3301,,VERBAL DISPUTE,B3,438,0,2019-10-13 2:09,2019,10,Sunday,2,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
192082449,3005,,SICK ASSIST,B3,438,0,2019-10-11 16:40,2019,10,Friday,16,,MALLARD AVE,42.291044,-71.076944,"(42.29104400, -71.07694400)"
I192070103,3114,Investigate Property,INVESTIGATE PROPERTY,B3,438,,2019-09-02 23:07,2019,9,Monday,23,Part Three,MALLARD AVE,42.29104501,-71.0769441,"(42.29104501, -71.07694410)"
I192060736,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,438,,2019-08-04 21:02,2019,8,Sunday,21,Part Two,MALLARD AVE,42.29104501,-71.0769441,"(42.29104501, -71.07694410)"
I192043713,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,438,,2019-06-09 22:50,2019,6,Sunday,22,Part Two,MALLARD AVE,42.29104501,-71.0769441,"(42.29104501, -71.07694410)"
I192037928,2647,Other,THREATS TO DO BODILY HARM,B3,438,,2019-05-21 15:24,2019,5,Tuesday,15,Part Two,MALLARD AVE,42.29104501,-71.0769441,"(42.29104501, -71.07694410)"
I192000029,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,565,,2019-01-01 1:30,2019,1,Tuesday,1,Other,GREENOCK ST,42.29105051,-71.09122374,"(42.29105051, -71.09122374)"
I192000029,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,565,,2019-01-01 1:30,2019,1,Tuesday,1,Part Three,GREENOCK ST,42.29105051,-71.09122374,"(42.29105051, -71.09122374)"
192091709,423,,ASSAULT - AGGRAVATED,B3,464,1,2019-11-12 13:52,2019,11,Tuesday,13,,BLUE HILL AVE,42.291056,-71.089337,"(42.29105600, -71.08933700)"
192089739,3115,,INVESTIGATE PERSON,B3,464,0,2019-11-05 15:14,2019,11,Tuesday,15,,BLUE HILL AVE,42.291056,-71.089337,"(42.29105600, -71.08933700)"
I192069103,3301,Verbal Disputes,VERBAL DISPUTE,B3,464,,2019-08-30 18:55,2019,8,Friday,18,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192065176,2629,Harassment,HARASSMENT,B3,464,,2019-08-18 20:00,2019,8,Sunday,20,Part Two,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192063751,3201,Property Lost,PROPERTY - LOST,B3,464,,2019-08-14 14:56,2019,8,Wednesday,14,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192053484,2646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B3,464,,2019-07-12 10:18,2019,7,Friday,10,Part Two,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192051379,3115,Investigate Person,INVESTIGATE PERSON,B3,464,,2019-07-05 9:23,2019,7,Friday,9,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192047152,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,B3,464,,2019-06-21 17:37,2019,6,Friday,17,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192035118,3301,Verbal Disputes,VERBAL DISPUTE,B3,464,,2019-05-11 21:05,2019,5,Saturday,21,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192032804,3114,Investigate Property,INVESTIGATE PROPERTY,B3,464,,2019-05-03 22:32,2019,5,Friday,22,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192029395,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,464,,2019-04-21 21:43,2019,4,Sunday,21,Part Two,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192015893,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,464,,2019-03-02 13:33,2019,3,Saturday,13,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192010611,3114,Investigate Property,INVESTIGATE PROPERTY,B3,464,,2019-02-09 16:11,2019,2,Saturday,16,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
I192009285,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,464,,2019-02-04 20:50,2019,2,Monday,20,Part Three,BLUE HILL AVE,42.29105647,-71.08933752,"(42.29105647, -71.08933752)"
192094990,301,,ROBBERY,B3,449,0,2019-11-23 20:59,2019,11,Saturday,20,,TALBOT AVE,42.291062,-71.074872,"(42.29106200, -71.07487200)"
I192029747,2612,Fire Related Reports,FIRE REPORT/ALARM - FALSE,B3,449,,2019-04-23 10:00,2019,4,Tuesday,10,Part Two,TALBOT AVE,42.29106255,-71.07487211,"(42.29106255, -71.07487211)"
I192007204,1402,Vandalism,VANDALISM,B3,449,,2019-01-27 23:30,2019,1,Sunday,23,Part Two,TALBOT AVE,42.29106255,-71.07487211,"(42.29106255, -71.07487211)"
I192006295,724,Auto Theft,AUTO THEFT,B3,449,,2019-01-24 13:43,2019,1,Thursday,13,Part One,TALBOT AVE,42.29106255,-71.07487211,"(42.29106255, -71.07487211)"
I192006295,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B3,449,,2019-01-24 13:43,2019,1,Thursday,13,Part Two,TALBOT AVE,42.29106255,-71.07487211,"(42.29106255, -71.07487211)"
I192006295,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,449,,2019-01-24 13:43,2019,1,Thursday,13,Other,TALBOT AVE,42.29106255,-71.07487211,"(42.29106255, -71.07487211)"
192097154,3112,,LANDLORD - TENANT,C11,377,0,2019-12-02 11:00,2019,12,Monday,11,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192096735,801,,ASSAULT - SIMPLE,C11,377,0,2019-11-30 13:30,2019,11,Saturday,13,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192090753,3112,,LANDLORD - TENANT,C11,377,0,2019-11-08 21:27,2019,11,Friday,21,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192089176,1402,,VANDALISM,C11,377,0,2019-11-02 20:52,2019,11,Saturday,20,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192083998,3115,,INVESTIGATE PERSON,C11,377,0,2019-10-17 8:29,2019,10,Thursday,8,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192083978,3114,,INVESTIGATE PROPERTY,C11,377,0,2019-10-17 7:00,2019,10,Thursday,7,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192083902,3301,,VERBAL DISPUTE,C11,377,0,2019-10-16 19:50,2019,10,Wednesday,19,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192083150,3301,,VERBAL DISPUTE,C11,377,0,2019-10-11 8:00,2019,10,Friday,8,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
192082413,619,,LARCENY ALL OTHERS,C11,377,0,2019-10-11 3:14,2019,10,Friday,3,,BOUTWELL ST,42.291068,-71.05234,"(42.29106800, -71.05234000)"
I192078291,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,377,,2019-09-28 0:09,2019,9,Saturday,0,Part Two,BOUTWELL ST,42.29106908,-71.05234007,"(42.29106908, -71.05234007)"
I192078426,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,377,,2019-09-27 23:52,2019,9,Friday,23,Part Two,BOUTWELL ST,42.29106908,-71.05234007,"(42.29106908, -71.05234007)"
I192053310,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,377,,2019-07-11 17:00,2019,7,Thursday,17,Part Three,BOUTWELL ST,42.29106908,-71.05234007,"(42.29106908, -71.05234007)"
I192063681,1001,Counterfeiting,FORGERY / COUNTERFEITING,C11,377,,2019-04-23 11:35,2019,4,Tuesday,11,Part Two,BOUTWELL ST,42.29106908,-71.05234007,"(42.29106908, -71.05234007)"
I192037789,3007,Medical Assistance,SUDDEN DEATH,E13,506,,2019-05-21 5:30,2019,5,Tuesday,5,Part Three,BOURNEDALE RD,42.29106935,-71.11581709,"(42.29106935, -71.11581709)"
I192077352,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,373,,2019-09-10 10:58,2019,9,Tuesday,10,Part Two,FREEPORT ST,42.29107271,-71.04819731,"(42.29107271, -71.04819731)"
I192024968,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,374,,2019-04-05 2:20,2019,4,Friday,2,Part Two,FREEPORT ST,42.29107271,-71.04819731,"(42.29107271, -71.04819731)"
192091324,3114,,INVESTIGATE PROPERTY,C11,366,1,2019-11-11 5:37,2019,11,Monday,5,,ADAMS ST,42.291083,-71.05693,"(42.29108300, -71.05693000)"
I192068215,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,366,,2019-08-28 7:50,2019,8,Wednesday,7,Part Three,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
