,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM
0,I192053027,3502,Missing Person Located,MISSING PERSON - LOCATED,A1,111,,2019-07-10 18:21,2019,7,Wednesday,18,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-10,18:21,10,21,2019-07-10 18:21:00,FALSE
1,I192053027,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,111,,2019-07-10 18:21,2019,7,Wednesday,18,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-10,18:21,10,21,2019-07-10 18:21:00,FALSE
2,I192052623,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-07-09 14:20,2019,7,Tuesday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-09,14:20,9,20,2019-07-09 14:20:00,FALSE
3,I192052618,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-07-09 14:00,2019,7,Tuesday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-09,14:00,9,0,2019-07-09 14:00:00,FALSE
4,I192052618,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-09 14:00,2019,7,Tuesday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-09,14:00,9,0,2019-07-09 14:00:00,FALSE
5,I192051161,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-07-04 15:44,2019,7,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-04,15:44,4,44,2019-07-04 15:44:00,FALSE
6,I192051161,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-04 15:44,2019,7,Thursday,15,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-04,15:44,4,44,2019-07-04 15:44:00,FALSE
7,I192051161,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-04 15:44,2019,7,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-04,15:44,4,44,2019-07-04 15:44:00,FALSE
8,I192051001,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-07-03 23:24,2019,7,Wednesday,23,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-03,23:24,3,24,2019-07-03 23:24:00,FALSE
9,I192050829,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-03 15:04,2019,7,Wednesday,15,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-03,15:04,3,4,2019-07-03 15:04:00,FALSE
10,I192050829,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-03 15:04,2019,7,Wednesday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-03,15:04,3,4,2019-07-03 15:04:00,FALSE
11,I192050797,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-07-03 11:50,2019,7,Wednesday,11,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-03,11:50,3,50,2019-07-03 11:50:00,FALSE
12,I192050588,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-02 19:41,2019,7,Tuesday,19,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-02,19:41,2,41,2019-07-02 19:41:00,FALSE
13,I192050588,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-02 19:41,2019,7,Tuesday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)",2019-07-02,19:41,2,41,2019-07-02 19:41:00,FALSE
