,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM
157,157,192079672,3801,,M/V ACCIDENT - OTHER,E18, ,0,2019-10-02 12:00,2019,10,Wednesday,12,,,42.237393,-71.132739,"(42.23739300, -71.13273900)",2019-10-02,12:00,2,0,2019-10-02 12:00,TRUE
419,419,192079045,3115,,INVESTIGATE PERSON,E18,532,0,2019-09-30 13:47,2019,9,Monday,13,,EDSON ST,42.242839,-71.137757,"(42.24283900, -71.13775700)",2019-09-30,13:47,30,47,2019-09-30 13:47,TRUE
851,851,192102278,3301,,VERBAL DISPUTE,E18,518,0,2019-12-20 11:58,2019,12,Friday,11,,TRUMAN PKWY,42.249457,-71.122937,"(42.24945700, -71.12293700)",2019-12-20,11:58,20,58,2019-12-20 11:58,TRUE
853,853,I192059602,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,518,,2019-08-01 10:02,2019,8,Thursday,10,Part Two,TRUMAN PKWY,42.24945777,-71.12293746,"(42.24945777, -71.12293746)",2019-08-01,10:02,1,2,2019-08-01 10:02,TRUE
977,977,I192064309,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,522,,2019-08-16 10:46,2019,8,Friday,10,Part Three,DANA AVE,42.2509009,-71.1225554,"(42.25090090, -71.12255540)",2019-08-16,10:46,16,46,2019-08-16 10:46,TRUE
1026,1026,192085141,3410,,TOWED MOTOR VEHICLE,E18, ,0,2019-10-21 9:26,2019,10,Monday,9,,RIVER ST,42.251208,-71.130953,"(42.25120800, -71.13095300)",2019-10-21,9:26,21,26,2019-10-21 9:26,TRUE
1288,1288,I192026921,3410,Towed,TOWED MOTOR VEHICLE,E18,521,,2019-04-12 9:31,2019,4,Friday,9,Part Three,DANA AVE,42.25326734,-71.12385963,"(42.25326734, -71.12385963)",2019-04-12,9:31,12,31,2019-04-12 9:31,TRUE
1314,1314,192085470,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,E18,522,0,2019-10-22 8:28,2019,10,Tuesday,8,,HYDE PARK AVE,42.253329,-71.124671,"(42.25332900, -71.12467100)",2019-10-22,8:28,22,28,2019-10-22 8:28,TRUE
1347,1347,I192026689,613,Larceny,LARCENY SHOPLIFTING,E18,522,,2019-04-11 13:41,2019,4,Thursday,13,Part One,HYDE PARK AVE,42.25332979,-71.12467152,"(42.25332979, -71.12467152)",2019-04-11,13:41,11,41,2019-04-11 13:41,TRUE
1509,1509,I192076738,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,521,,2019-09-23 14:04,2019,9,Monday,14,Part Two,HYDE PARK AVE,42.25466263,-71.12430955,"(42.25466263, -71.12430955)",2019-09-23,14:04,23,4,2019-09-23 14:04,TRUE
1531,1531,I192077525,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,537,,2019-09-25 17:57,2019,9,Wednesday,17,Part Two,STONEHILL RD,42.25475584,-71.14143386,"(42.25475584, -71.14143386)",2019-09-25,17:57,25,57,2019-09-25 17:57,TRUE
1645,1645,I192032354,617,Larceny,LARCENY THEFT FROM BUILDING,E18,521,,2019-05-02 12:45,2019,5,Thursday,12,Part One,HYDE PARK AVE,42.25546877,-71.12417959,"(42.25546877, -71.12417959)",2019-05-02,12:45,2,45,2019-05-02 12:45,TRUE
1647,1647,I192002021,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E18,521,,2019-01-08 11:43,2019,1,Tuesday,11,Part Two,HYDE PARK AVE,42.25546877,-71.12417959,"(42.25546877, -71.12417959)",2019-01-08,11:43,8,43,2019-01-08 11:43,TRUE
1648,1648,I192002021,2905,Violations,VAL - OPERATING WITHOUT LICENSE,E18,521,,2019-01-08 11:43,2019,1,Tuesday,11,Part Two,HYDE PARK AVE,42.25546877,-71.12417959,"(42.25546877, -71.12417959)",2019-01-08,11:43,8,43,2019-01-08 11:43,TRUE
1666,1666,I192035726,3410,Towed,TOWED MOTOR VEHICLE,E18,519,,2019-05-14 9:57,2019,5,Tuesday,9,Part Three,PIERCE ST,42.25556696,-71.11902026,"(42.25556696, -71.11902026)",2019-05-14,9:57,14,57,2019-05-14 9:57,TRUE
1692,1692,I192068537,311,Robbery,ROBBERY - COMMERCIAL,E18,520,,2019-08-29 9:09,2019,8,Thursday,9,Part One,RIVER ST,42.25572957,-71.12484898,"(42.25572957, -71.12484898)",2019-08-29,9:09,29,9,2019-08-29 9:09,TRUE
1728,1728,I192053732,3207,Property Found,PROPERTY - FOUND,E18,521,,2019-07-12 23:20,2019,7,Friday,23,Part Three,HYDE PARK AVE,42.25582051,-71.12411928,"(42.25582051, -71.12411928)",2019-07-12,23:20,12,20,2019-07-12 23:20,TRUE
1781,1781,I192007844,613,Larceny,LARCENY SHOPLIFTING,E18,521,,2019-01-30 11:34,2019,1,Wednesday,11,Part One,RIVER ST,42.25592648,-71.12317207,"(42.25592648, -71.12317207)",2019-01-30,11:34,30,34,2019-01-30 11:34,TRUE
1891,1891,192100911,3207,,PROPERTY - FOUND,E18,520,0,2019-12-15 14:12,2019,12,Sunday,14,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-12-15,14:12,15,12,2019-12-15 14:12,TRUE
1892,1892,192100923,3115,,INVESTIGATE PERSON,E18,520,0,2019-12-15 11:04,2019,12,Sunday,11,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-12-15,11:04,15,4,2019-12-15 11:04,TRUE
2016,2016,192092872,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,520,0,2019-11-16 11:55,2019,11,Saturday,11,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-11-16,11:55,16,55,2019-11-16 11:55,TRUE
2029,2029,192092259,1109,,FRAUD - WIRE,E18,520,0,2019-11-13 0:00,2019,11,Wednesday,0,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-11-13,0:00,13,0,2019-11-13 0:00,TRUE
2069,2069,192100244,1102,,FRAUD - FALSE PRETENSE / SCHEME,E18,520,0,2019-11-03 8:00,2019,11,Sunday,8,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-11-03,8:00,3,0,2019-11-03 8:00,TRUE
2087,2087,192088187,3201,,PROPERTY - LOST/ MISSING,E18,520,0,2019-10-31 0:00,2019,10,Thursday,0,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-31,0:00,31,0,2019-10-31 0:00,TRUE
2107,2107,192086730,1102,,FRAUD - FALSE PRETENSE / SCHEME,E18,520,0,2019-10-25 11:30,2019,10,Friday,11,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-25,11:30,25,30,2019-10-25 11:30,TRUE
2108,2108,192086839,1102,,FRAUD - FALSE PRETENSE / SCHEME,E18,520,0,2019-10-25 10:00,2019,10,Friday,10,,HYDE PARK AVE,42.256215,-71.124019,"(42.25621500, -71.12401900)",2019-10-25,10:00,25,0,2019-10-25 10:00,TRUE
