INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
192105121,3115,,INVESTIGATE PERSON,D4, ,0,2019-12-31 22:00,2019,12,Tuesday,22,,BOSTON MEDICAL CENTER PL,,,"(0.00000000, 0.00000000)"
192104974,423,,ASSAULT - AGGRAVATED,B2, ,0,2019-12-31 12:03,2019,12,Tuesday,12,,DUDLEY STATION,,,"(0.00000000, 0.00000000)"
202012379,3207,,PROPERTY - FOUND,B2,289,0,2019-12-31 9:00,2019,12,Tuesday,9,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
202033621,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2019-12-31 0:00,2019,12,Tuesday,0,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192105043,1402,,VANDALISM,B3,465,0,2019-12-30 19:00,2019,12,Monday,19,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192104660,801,,ASSAULT - SIMPLE,B3,429,0,2019-12-30 1:13,2019,12,Monday,1,,HILDRETH,,,"(0.00000000, 0.00000000)"
192104470,801,,ASSAULT - SIMPLE,E5,714,0,2019-12-29 5:03,2019,12,Sunday,5,,PLEASANDALE RD,,,"(0.00000000, 0.00000000)"
192105017,423,,ASSAULT - AGGRAVATED,A1, ,0,2019-12-29 1:55,2019,12,Sunday,1,,SUDBURY ST,,,"(0.00000000, 0.00000000)"
192104445,801,,ASSAULT - SIMPLE,, ,0,2019-12-29 0:38,2019,12,Sunday,0,,QUINCY STREET,,,"(0.00000000, 0.00000000)"
192104326,3006,,SICK/INJURED/MEDICAL - PERSON,A1, ,0,2019-12-28 17:13,2019,12,Saturday,17,,AVE DE LAFAYETTE,,,"(0.00000000, 0.00000000)"
192104304,3301,,VERBAL DISPUTE,B2, ,0,2019-12-28 15:56,2019,12,Saturday,15,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
202011532,3207,,PROPERTY - FOUND,B2,289,0,2019-12-28 15:00,2019,12,Saturday,15,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
192104270,724,,AUTO THEFT,B3,465,0,2019-12-28 14:03,2019,12,Saturday,14,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192104250,3502,,MISSING PERSON - LOCATED,B3,465,0,2019-12-28 12:18,2019,12,Saturday,12,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192104209,241,,SEX OFFENSE - RAPE - FORCIBLE,D4, ,0,2019-12-28 6:17,2019,12,Saturday,6,,BOSTON MEDICAL CENTER PL,,,"(0.00000000, 0.00000000)"
192104366,3502,,MISSING PERSON - LOCATED,B3, ,0,2019-12-27 23:00,2019,12,Friday,23,,MA-28,,,"(0.00000000, 0.00000000)"
192104955,2670,,HARASSMENT/ CRIMINAL HARASSMENT,B3,465,0,2019-12-27 22:00,2019,12,Friday,22,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192104150,3301,,VERBAL DISPUTE,B2, ,0,2019-12-27 21:05,2019,12,Friday,21,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192104138,301,,ROBBERY,B3,430,0,2019-12-27 20:03,2019,12,Friday,20,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
202013930,3115,,INVESTIGATE PERSON,B3,465,0,2019-12-27 9:00,2019,12,Friday,9,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192103932,801,,ASSAULT - SIMPLE,C6,186,0,2019-12-26 23:52,2019,12,Thursday,23,,JAN KARSKI WAY,,,"(0.00000000, 0.00000000)"
192104334,3115,,INVESTIGATE PERSON,B3, ,0,2019-12-26 22:00,2019,12,Thursday,22,,MA-28,,,"(0.00000000, 0.00000000)"
192103924,724,,AUTO THEFT,B3, ,0,2019-12-26 19:00,2019,12,Thursday,19,,MA-28,,,"(0.00000000, 0.00000000)"
192103886,3115,,INVESTIGATE PERSON,B3,465,0,2019-12-26 17:30,2019,12,Thursday,17,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192103784,423,,ASSAULT - AGGRAVATED,C6, ,0,2019-12-26 14:10,2019,12,Thursday,14,,STOP AND SHOP,,,"(0.00000000, 0.00000000)"
192103760,2905,,VAL - VIOLATION OF AUTO LAW,B3, ,0,2019-12-26 10:45,2019,12,Thursday,10,,HARVARD WALK HILL,,,"(0.00000000, 0.00000000)"
192103825,3201,,PROPERTY - LOST/ MISSING,A1, ,0,2019-12-25 21:30,2019,12,Wednesday,21,,SUDBURY ST,,,"(0.00000000, 0.00000000)"
192103514,801,,ASSAULT - SIMPLE,B2,296,0,2019-12-24 23:47,2019,12,Tuesday,23,,MONTROSE,,,"(0.00000000, 0.00000000)"
192103513,3803,,M/V ACCIDENT - PERSONAL INJURY,E5,711,0,2019-12-24 23:33,2019,12,Tuesday,23,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
192103476,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,0,2019-12-24 19:22,2019,12,Tuesday,19,,HARRISON AVE/ESSEX ST,,,"(0.00000000, 0.00000000)"
192103457,3301,,VERBAL DISPUTE,C6, ,0,2019-12-24 17:17,2019,12,Tuesday,17,,MONSIGNOR DENNIS F O'CALLAGHAN WAY,,,"(0.00000000, 0.00000000)"
192103424,3201,,PROPERTY - LOST/ MISSING,A1, ,0,2019-12-24 16:34,2019,12,Tuesday,16,,SUDBURY ST,,,"(0.00000000, 0.00000000)"
192103394,801,,ASSAULT - SIMPLE,C6, ,0,2019-12-24 14:00,2019,12,Tuesday,14,,E 2ND ST,,,"(0.00000000, 0.00000000)"
202002536,3115,,INVESTIGATE PERSON,B3, ,0,2019-12-24 8:43,2019,12,Tuesday,8,,MA-28,,,"(0.00000000, 0.00000000)"
192103248,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,329,0,2019-12-23 21:12,2019,12,Monday,21,,COLUMBIA RD / WASHINGTON ST,,,"(0.00000000, 0.00000000)"
192103207,2662,,BALLISTICS EVIDENCE/FOUND,, ,1,2019-12-23 18:48,2019,12,Monday,18,,SMITH ST,,,"(0.00000000, 0.00000000)"
192103209,619,,LARCENY ALL OTHERS,B3,465,0,2019-12-23 18:30,2019,12,Monday,18,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192103168,3111,,LICENSE PREMISE VIOLATION,A1, ,0,2019-12-23 17:09,2019,12,Monday,17,,LOGAN,,,"(0.00000000, 0.00000000)"
192103177,801,,ASSAULT - SIMPLE,C11, ,0,2019-12-23 16:45,2019,12,Monday,16,,MORRISSEY BLVD,,,"(0.00000000, 0.00000000)"
192103076,3301,,VERBAL DISPUTE,C6,186,0,2019-12-23 11:23,2019,12,Monday,11,,DISTRICT AVE,,,"(0.00000000, 0.00000000)"
192103007,3805,,M/V ACCIDENT - POLICE VEHICLE,, ,0,2019-12-23 5:30,2019,12,Monday,5,,,,,"(0.00000000, 0.00000000)"
192103251,3301,,VERBAL DISPUTE,B2,321,0,2019-12-23 0:00,2019,12,Monday,0,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192102888,3114,,INVESTIGATE PROPERTY,D4, ,0,2019-12-22 15:40,2019,12,Sunday,15,,COPLEY SQUARE,,,"(0.00000000, 0.00000000)"
192102742,801,,ASSAULT - SIMPLE,B3,465,0,2019-12-21 22:42,2019,12,Saturday,22,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192102719,801,,ASSAULT - SIMPLE,D4,163,0,2019-12-21 21:59,2019,12,Saturday,21,,WASHINGTON STREET,,,"(0.00000000, 0.00000000)"
192102738,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,B3, ,0,2019-12-21 10:00,2019,12,Saturday,10,,MA-28,,,"(0.00000000, 0.00000000)"
192102555,3005,,SICK ASSIST,B3, ,0,2019-12-21 8:43,2019,12,Saturday,8,,HAZELTON ST,,,"(0.00000000, 0.00000000)"
192102694,801,,ASSAULT - SIMPLE,B3, ,0,2019-12-21 8:30,2019,12,Saturday,8,,MA-28,,,"(0.00000000, 0.00000000)"
192102557,3410,,TOWED MOTOR VEHICLE,A1,99,0,2019-12-21 8:03,2019,12,Saturday,8,,POST OFFICE SQUARE,,,"(0.00000000, 0.00000000)"
202012142,3207,,PROPERTY - FOUND,B2,289,0,2019-12-21 5:00,2019,12,Saturday,5,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
192102533,3001,,DEATH INVESTIGATION,External, ,0,2019-12-21 3:05,2019,12,Saturday,3,,ALFORD STREET,,,"(0.00000000, 0.00000000)"
192102683,617,,LARCENY THEFT FROM BUILDING,B3, ,0,2019-12-21 0:00,2019,12,Saturday,0,,MA-28,,,"(0.00000000, 0.00000000)"
192102475,3410,,TOWED MOTOR VEHICLE,C6, ,0,2019-12-20 22:10,2019,12,Friday,22,,W 2ND ST,,,"(0.00000000, 0.00000000)"
192103748,1102,,FRAUD - FALSE PRETENSE / SCHEME,A15, ,0,2019-12-20 19:00,2019,12,Friday,19,,O REILLY WAY,,,"(0.00000000, 0.00000000)"
192102416,3402,,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",A15, ,0,2019-12-20 17:00,2019,12,Friday,17,,8TH ST,,,"(0.00000000, 0.00000000)"
202012158,3207,,PROPERTY - FOUND,B2,289,0,2019-12-20 12:30,2019,12,Friday,12,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
202012112,3207,,PROPERTY - FOUND,B2,289,0,2019-12-20 9:00,2019,12,Friday,9,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
192102187,3301,,VERBAL DISPUTE,A1, ,0,2019-12-20 1:12,2019,12,Friday,1,,CAUSEWAY STREET,,,"(0.00000000, 0.00000000)"
192102101,613,,LARCENY SHOPLIFTING,C6,186,0,2019-12-19 18:19,2019,12,Thursday,18,,DISTRICT AVE,,,"(0.00000000, 0.00000000)"
202012075,3115,,INVESTIGATE PERSON,D14,797,0,2019-12-19 0:00,2019,12,Thursday,0,,COMMONWEALTH AVENUE,,,"(0.00000000, 0.00000000)"
202011514,3207,,PROPERTY - FOUND,B2,289,0,2019-12-18 22:30,2019,12,Wednesday,22,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
202012363,3207,,PROPERTY - FOUND,B2,289,0,2019-12-18 21:30,2019,12,Wednesday,21,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
202012355,3207,,PROPERTY - FOUND,B2,289,0,2019-12-18 21:30,2019,12,Wednesday,21,,SCHROEDER PLAZA,,,"(0.00000000, 0.00000000)"
192101908,3115,,INVESTIGATE PERSON,E18, ,0,2019-12-18 20:08,2019,12,Wednesday,20,,RIVER ST TERRACE,,,"(0.00000000, 0.00000000)"
192101806,801,,ASSAULT - SIMPLE,C6, ,0,2019-12-18 16:38,2019,12,Wednesday,16,,GAVIN,,,"(0.00000000, 0.00000000)"
192101643,2657,,VIOLATION - CITY ORDINANCE,A1, ,0,2019-12-18 8:40,2019,12,Wednesday,8,,SUDBURY ST,,,"(0.00000000, 0.00000000)"
202010132,3201,,PROPERTY - LOST/ MISSING,A1, ,0,2019-12-17 19:00,2019,12,Tuesday,19,,SUDBURY ST,,,"(0.00000000, 0.00000000)"
192101520,613,,LARCENY SHOPLIFTING,C6,186,0,2019-12-17 14:17,2019,12,Tuesday,14,,DISTRICT AVE,,,"(0.00000000, 0.00000000)"
191101616,301,,ROBBERY,E13,574,0,2019-12-17 13:35,2019,12,Tuesday,13,,BROOKSIDE AVE,,,"(0.00000000, 0.00000000)"
192101474,801,,ASSAULT - SIMPLE,B3,465,0,2019-12-17 13:21,2019,12,Tuesday,13,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
192101713,3201,,PROPERTY - LOST/ MISSING,A1, ,0,2019-12-16 23:30,2019,12,Monday,23,,SUDBURY ST,,,"(0.00000000, 0.00000000)"
