INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,DATE,TIME,DAY,MIN,DATETIME,MATCH_TENTH_KM,FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
I192072703,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,618,,2019-09-10 16:52,2019,9,Tuesday,16,Part Three,HUNTINGTON AVE,42.34043847,-71.08895009,"(42.34043847, -71.08895009)",2019-09-10,16:52:00,10,52,2019-09-10 16:52,TRUE,1,1,25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,363702,0,42.3398654,-71.0896052,3914567.539,14629.55036,666099.9063,6036.192858
I192055734,3811,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,D4,618,,2019-07-19 16:11,2019,7,Friday,16,Part Three,HUNTINGTON AVE,42.34043847,-71.08895009,"(42.34043847, -71.08895009)",2019-07-19,16:11:00,19,11,2019-07-19 16:11,TRUE,1,1,25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,363702,0,42.3398654,-71.0896052,3914567.539,14629.55036,666099.9063,6036.192858
I192000392,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,618,,2019-01-02 12:05,2019,1,Wednesday,12,Part Three,HUNTINGTON AVE,42.34091586,-71.08771531,"(42.34091586, -71.08771531)",2019-01-02,12:05:00,2,5,2019-01-02 12:05,TRUE,1,1,25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,363702,0,42.3398654,-71.0896052,3914567.539,14629.55036,666099.9063,6036.192858
I192054359,3410,Towed,TOWED MOTOR VEHICLE,D4,594,,2019-07-15 9:16,2019,7,Monday,9,Part Three,HUNTINGTON AVE,42.34155222,-71.0863228,"(42.34155222, -71.08632280)",2019-07-15,9:16:00,15,16,2019-07-15 9:16,TRUE,1,1,25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,363702,0,42.3398654,-71.0896052,3914567.539,14629.55036,666099.9063,6036.192858
I192024501,3111,License Violation,LICENSE PREMISE VIOLATION,D4,145,,2019-04-03 13:26,2019,4,Wednesday,13,Part Three,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.34243945, -71.08445530)",2019-04-03,13:26:00,3,26,2019-04-03 13:26,TRUE,1,1,25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,363702,0,42.3398654,-71.0896052,3914567.539,14629.55036,666099.9063,6036.192858
I192032869,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,618,,2019-05-04 9:58,2019,5,Saturday,9,Part Three,GAINSBOROUGH ST,42.34190866,-71.0871609,"(42.34190866, -71.08716090)",2019-05-04,9:58:00,4,58,2019-05-04 9:58,TRUE,2,2,25,25,10404,25025010404,104.04,Census Tract 104.04,G5020,S,136829,0,42.3419667,-71.0886375,1472713.924,5277.643216,250612.4023,2176.592125
I192040427,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D4,136,,2019-05-30 8:58,2019,5,Thursday,8,Part Two,MARLBOROUGH ST,42.35256908,-71.07978844,"(42.35256908, -71.07978844)",2019-05-30,8:58:00,30,58,2019-05-30 8:58,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192030058,3410,Towed,TOWED MOTOR VEHICLE,D4,135,,2019-04-24 8:53,2019,4,Wednesday,8,Part Three,MARLBOROUGH ST,42.35256908,-71.07978844,"(42.35256908, -71.07978844)",2019-04-24,8:53:00,24,53,2019-04-24 8:53,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
192086195,3005,,SICK ASSIST,D4,135,0,2019-10-24 12:30,2019,10,Thursday,12,,BEACON ST,42.353357,-71.080177,"(42.35335700, -71.08017700)",2019-10-24,12:30:00,24,30,2019-10-24 12:30,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192035536,3115,Investigate Person,INVESTIGATE PERSON,D4,131,,2019-05-13 13:46,2019,5,Monday,13,Part Three,CLARENDON ST,42.35362593,-71.07666262,"(42.35362593, -71.07666262)",2019-05-13,13:46:00,13,46,2019-05-13 13:46,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
I192005663,3410,Towed,TOWED MOTOR VEHICLE,D4,131,,2019-01-22 12:28,2019,1,Tuesday,12,Part Three,BEACON ST,42.35393998,-71.07802992,"(42.35393998, -71.07802992)",2019-01-22,12:28:00,22,28,2019-01-22 12:28,TRUE,3,3,25,25,10801,25025010801,108.01,Census Tract 108.01,G5020,S,127905,0,42.3541193,-71.0770216,1376667.117,6166.497167,234357.9023,2542.042976
