DEPARTMENT_NAME,Total,0_10K,10_20K,20_30K,30_40K,40_50K,50_60K,60_70K,70_80K,80_90K,90_100K,100_110K,110_120K,120_130K,130_140K,140_150K,150_160K,160_170K,170_180K,180_190K,190_200K,200_210K,210_220K,220_230K,230_240K,240_250K
Boston Police Department,2047,0.00097704,0.002442599,0.006350757,0.007327797,0.015144113,0.039081583,0.016609673,0.064484612,0.084025403,0.287738153,0.201758671,0.094772838,0.064973131,0.04494382,0.033707865,0.016609673,0.006350757,0.004885198,0.007816317,0,0,0,0,0,0
Boston Fire Department,1115,0,0.000896861,0,0,0,0.007174888,0.005381166,0.028699552,0.011659193,0.04573991,0.050224215,0.039461883,0.142600897,0.370403587,0.050224215,0.104932735,0.038565022,0.040358744,0.015246637,0.008071749,0.023318386,0.007174888,0.001793722,0.006278027,0.001793722
Public Works Department,283,0.067137809,0.070671378,0.03180212,0.106007067,0.222614841,0.155477032,0.134275618,0.088339223,0.03180212,0.035335689,0.024734982,0.010600707,0.007067138,0.014134276,0,0,0,0,0,0,0,0,0,0,0
BPS Facility Management,147,0,0,0.013605442,0.006802721,0.088435374,0.387755102,0.265306122,0.224489796,0.013605442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks Department,124,0.064516129,0.072580645,0.016129032,0.120967742,0.266129032,0.209677419,0.096774194,0.040322581,0.024193548,0.048387097,0.024193548,0.008064516,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0
Property Management,94,0.021276596,0,0.063829787,0.063829787,0.244680851,0.436170213,0.053191489,0,0.042553191,0.053191489,0,0.010638298,0.010638298,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Division,89,0,0.011235955,0,0.04494382,0.235955056,0.213483146,0.168539326,0.112359551,0.078651685,0.056179775,0.056179775,0.011235955,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0
Inspectional Services Dept,51,0,0,0,0.019607843,0,0.019607843,0.039215686,0.31372549,0.137254902,0.37254902,0.019607843,0.058823529,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0
Boston Public Library,40,0.05,0.05,0.125,0.05,0.125,0.25,0.2,0.1,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Cntr - Youth & Families,36,0.527777778,0.111111111,0,0.055555556,0.138888889,0.083333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
