DEPARTMENT_NAME,TITLE,,
Boston Police Department,Police Lieutenant/Hdq Dispatch,4,
Boston Police Department,Police Captain,5,
Boston Police Department,Police Sergeant/Hdq Dispatcher,2,
Boston Police Department,Police Lieutenant,58,
Boston Police Department,Police Detective,309,
Boston Police Department,Police Captain/DDC,15,
Boston Police Department,Police Sergeant (Det),125,
Boston Police Department,Police Lieutenant (Det),26,
Boston Police Department,Police Captain/Hackney Invest,1,
Boston Police Department,Police Sergeant/FgrPrt Ev Tech,12,
Boston Police Department,Police Captain (Det),4,
Boston Police Department,Police Officer,1346,
Boston Police Department,Supn Bpd,15,
Boston Police Department,Captain/Academy Instructor,1,
Boston Police Department,Police Lieut/Acad Instr,2,
Boston Police Department,Prin Admin Asst,62,
Boston Police Department,Police Sergeant,185,
Boston Police Department,Supn-In Chief,1,
Boston Police Department,Dep Supn (Bpd),14,
Boston Police Department,Police Lieut (Det),1,
Boston Police Department,Police Sergeant/Bomb Squad,3,
Boston Police Department,Police Sergeant/CHF RADIO DISP,15,
Boston Police Department,Police Sergeant/Comm Serv Offc,14,
Boston Police Department,Police Officer Hdq Dispatch,16,
Boston Police Department,Police Sergeant/Pd Det Serv,6,
Boston Police Department,Police Offc Comm Serv Offc 3$8,51,
Boston Police Department,Commissioner (Bpd),1,
Boston Police Department,PoliceSergeant/SupvCourtCases,16,
Boston Police Department,Police Lieut/Paid Detail Ser,1,
Boston Police Department,Captain/Supv of Court Cases,1,
Boston Police Department,Police Offc Canine Offc 2$6,10,
Boston Police Department,Police Offc/FgrPrt Ev Tch 4$10,24,
Boston Police Department,Police Sergeant/AcadInstructor,6,
Boston Police Department,Police Sergeant/Mobile Oper,6,
Boston Police Department,Police Offc Bomb Squad,6,
Boston Police Department,Police Offc/Juvenile Offc 4$10,15,
Boston Police Department,Police Offc Mobile Offc 2$6,38,
Boston Police Department,Police Captain-DDC/HRCD,1,
Boston Police Department,Police Offc Acad Instr 2$6,27,
Boston Police Department,Police Lieutenant/Mobile Oper,2,
Boston Police Department,Police Offc Canine 2$6,18,
Boston Police Department,Police Offc Ballistician 4$10,4,
Boston Police Department,Lieut-Hackney Carriage Inves.,1,
Boston Police Department,Police Offc/Hosp Liaison 4$10,4,
