,Fiscal Year,Fund Number,Fund Name,Cabinet/Secretariat Name,Department Code,Department Name,Appropriation/Account Number,Appropriation/Account Name,Beginning Balance/Prior Appropriation Continued (PAC),Original Enacted Budget (General Appropriation Act),Supplemental Budget Appropriations,Transfer In,Transfer Out,Authorized Retained Revenue Floor,Authorized Retained Revenue Ceiling,Retained Revenue Estimate,Retained Revenue Collected,Planned Savings (9C Spending Cut),Total Enacted Budget Appropriation,Other Statutorily Authorized Spending,Total Available for Spending,Total Expenses,Balance Forward/Prior Appropriation Continued (PAC),Unexpended/Reverted
1916,2021,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,117319,0,0,0,0,0,0,0,,117319,0,0,117319
1969,2021,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,28100100,STATE PARKS AND RECREATION,0,0,0,10243,0,0,0,0,0,0,0,,10243,0,0,10243
2393,2021,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,47865,0,0,0,0,0,0,0,,47865,7538.72,0,40326.28
2526,2021,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100105,WORCESTER COUNTY CORRECTIONS,0,48933647,0,1639693,1639693,0,0,0,0,0,48933647,,48933647,4282786.61,0,44650860.39
2603,2021,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,89100110,HAMPSHIRE COUNTY CORRECTIONS,0,14884490,0,0,0,0,0,0,0,0,14884490,,14884490,1264868.81,0,13619621.19
3378,2021,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,144803,0,0,0,0,0,0,0,,144803,0,0,144803
3765,2021,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100108,FRANKLIN COUNTY CORRECTIONS,0,17203075,0,0,0,0,0,0,0,0,17203075,,17203075,1633218.13,0,15569856.87
4840,2021,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,81232,0,0,0,0,0,0,0,,81232,7329.75,0,73902.25
6254,2021,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
6272,2021,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,89108800,Suffolk Sheriff's Department,0,110041050,0,0,0,0,0,0,0,0,110041050,,110041050,7325196.3,0,102715853.7
6315,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,0,69791598,0,0,0,0,0,0,0,0,69791598,,69791598,4963243.28,0,64828354.72
6363,2021,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,89108200,Barnstable Sheriff's Department,0,29562173,0,0,0,0,0,0,0,0,29562173,,29562173,2544012.45,0,27018160.55
6381,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89101030,Western Mass Regional Women's Correction,0,4206665,0,0,0,0,,0,0,0,4206665,,4206665,275699.16,0,3930965.84
6681,2021,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,1193729.5,0,0,0,0,0,0,0,,1193729.5,133992.93,0,1059736.57
7069,2021,10,General Fund,SHERIFF DEPARTMENTS,HSD,SHERIFF DEPARTMENT HAMPSHIRE,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,442680.5,0,0,0,0,0,0,0,,442680.5,69728.94,0,372951.56
7160,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,89100102,HAMPDEN COUNTY CORRECTIONS,0,75662572,0,440400,440400,0,0,0,0,0,75662572,,75662572,6596076.05,0,69066495.95
7198,2021,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108300,Bristol Sheriff's Department,0,47241654,0,4736133,4736133,0,0,0,0,0,47241654,,47241654,3569344.39,0,43672309.61
7513,2021,10,General Fund,SHERIFF DEPARTMENTS,SDP,SHERIFF DEPARTMENT PLYMOUTH,89108700,Plymouth Sheriff's Department,0,58003921,0,250000,250000,0,0,0,0,0,58003921,,58003921,5747011.52,0,52256909.48
7665,2021,10,General Fund,SHERIFF DEPARTMENTS,SDF,SHERIFF DEPARTMENT FRANKLIN,89100888,Franklin Sheriff Industries RR,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
7929,2021,10,General Fund,SHERIFF DEPARTMENTS,SDC,SHERIFF DEPARTMENT BARNSTABLE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
7997,2021,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,89100619,ESSEX SHERIFF'S DEPARTMENT,0,61658442,0,4255946,4255946,0,0,0,0,0,61658442,,61658442,5327662.75,0,56330779.25
8034,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,28100100,STATE PARKS AND RECREATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
8890,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3391003,COMMUNITY CORRECTIONS ADMINISTRATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10068,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,28100100,STATE PARKS AND RECREATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10364,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11587,2021,10,General Fund,SHERIFF DEPARTMENTS,SDS,SHERIFF DEPARTMENT SUFFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,2112,0,0,0,0,0,0,0,,2112,0,0,2112
13116,2021,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,89108318,Bristol County Sheriff Salary Adjustments,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
13728,2021,10,General Fund,SHERIFF DEPARTMENTS,BSD,SHERIFF DEPARTMENT BRISTOL,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
13991,2021,10,General Fund,SHERIFF DEPARTMENTS,SDH,SHERIFF DEPARTMENT HAMPDEN,3300601,Specialty Drug Courts,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
15010,2021,10,General Fund,SHERIFF DEPARTMENTS,SDN,SHERIFF DEPARTMENT NORFOLK,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,2112,0,0,0,0,0,0,0,,2112,0,0,2112
15717,2021,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,181335,0,0,0,0,0,0,0,,181335,0,0,181335
15785,2021,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,89100446,Berkshire Retained Revenue from Pittsfield Schools,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
16053,2021,10,General Fund,SHERIFF DEPARTMENTS,SDB,SHERIFF DEPARTMENT BERKSHIRE,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,128379,0,0,0,0,0,0,0,,128379,0,0,128379
16336,2021,10,General Fund,SHERIFF DEPARTMENTS,SDE,SHERIFF DEPARTMENT ESSEX,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,1446,0,0,0,0,0,0,0,,1446,0,0,1446
18136,2021,10,General Fund,SHERIFF DEPARTMENTS,SDW,SHERIFF DEPARTMENT WORCESTER,89100106,Reimbursement from Housing,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
21421,2021,10,General Fund,SHERIFF DEPARTMENTS,SDD,SHERIFF DEPARTMENT DUKES,70350002,BASIC ED ATTAINMENT AND WORK RELATED,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
22144,2021,10,General Fund,SHERIFF DEPARTMENTS,SDM,SHERIFF DEPARTMENT MIDDLESEX,45120200,DIVISION OF ALCOHOLISM ADMINISTRATION,0,0,0,77200,0,0,0,0,0,0,0,,77200,0,0,77200
