fiscal_year,revenue_category_name,fund_category_name,fund_number,sub_fund,sub_fund_name,fund_name,revenue_class_name,cabinet_name,department_code,department_name,revenue_source,revenue_source_name,revenue_collected,fiscal_period,apd_nm,trans_no,fiscal_period_month,fund_number_fund_name,department_code_department,revenue_source_revenue_source
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,3701760.55,8,February,201909115008MGC,08 (February),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,239155.31,6,December,201909110608MGC,06 (December),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,3901313.64,12,June,201909115308MGC,12 (June),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1082354.61,7,January,201909115008MGC,07 (January),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,411421.65,13,Adjustment 1,201909110608MGC,13 (Adjustment 1),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,105834.1,3,September,201909110608MGC,03 (September),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,329261.65,3,September,201909115108MGC,03 (September),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,466737.08,8,February,201909115308MGC,08 (February),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,900625.33,10,April,201909115108MGC,10 (April),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,470373.78,3,September,201909115008MGC,03 (September),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,7005875.12,12,June,201909115008MGC,12 (June),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,744038.73,6,December,201909115108MGC,06 (December),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,159.72,15,Adjustment 3,201909115108MGC,15 (Adjustment 3),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,1114813.29,5,November,201909115008MGC,05 (November),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,243529.79,7,January,201909110608MGC,07 (January),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,945460.47,4,October,201909115108MGC,04 (October),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,5749304.31,12,June,201909115108MGC,12 (June),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,765560.98,11,May,201909115108MGC,11 (May),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,246073.17,11,May,201909110608MGC,11 (May),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1153,GAME,Gaming Economic Devl  Fund,Gaming Economic Devl  Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,611138.62,10,April,201909115308MGC,10 (April),Gaming Economic Devl  Fund (1153),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,4156589.82,6,December,201909115008MGC,06 (December),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1151,GAME,Education Fund,Education Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,757648.23,7,January,201909115108MGC,07 (January),Education Fund (1151),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1106,GAME,Local Capital Projects Fund,Local Capital Projects Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9210,Transfer- Cat 1 Licensee Gaming Revenue,303898.01,4,October,201909110608MGC,04 (October),Local Capital Projects Fund (1106),MASSACHUSETTS GAMING COMMISSION (MGC),Transfer- Cat 1 Licensee Gaming Revenue (9210)
2019,OTHER FINANCING SOURCES,Budgeted Funds,1150,GAME,Gaming Local Aid Fund,Gaming Local Aid Fund,OPERATING TRANSFERS IN,MA GAMING COMMISSION,MGC,MASSACHUSETTS GAMING COMMISSION,9000,OPERATING TRANSFERS,5054896.83,7,January,201909115008MGC,07 (January),Gaming Local Aid Fund (1150),MASSACHUSETTS GAMING COMMISSION (MGC),OPERATING TRANSFERS (9000)
